,year,parameter,result,latitude,longitude
4610,2008,PCB,19.26,17.9508,-66.2119
4611,2008,PCB,3.11,17.9412,-66.2295
4612,2008,PCB,0.9,17.9421,-66.2134
4613,2008,PCB,0.44,17.9587,-66.2964
4614,2008,PCB,6.07,17.9353,-66.2385
4615,2008,PCB,0.37,17.9176,-66.2415
4616,2008,PCB,0.14,17.9402,-66.2886
4617,2008,PCB,0.23,17.9248,-66.211
4618,2008,PCB,0.54,17.9359,-66.2883
4619,2008,PCB,5.46,17.9409,-66.238
4620,2008,PCB,0.54,17.9245,-66.2362
4621,2008,PCB,0.6,17.9607,-66.3023
4622,2008,PCB,0.98,17.9445,-66.2076
4623,2008,PCB,3.3,17.9568,-66.2087
4624,2008,PCB,1.28,17.9361,-66.2414
4625,2008,PCB,0.58,17.9445,-66.2978
4626,2008,PCB,0.5,17.9252,-66.25399999999999
4627,2008,PCB,0.75,17.9352,-66.2797
4633,2008,PAH,0.02,17.9478,-66.2037
4636,2008,PAH,0.02,17.9578,-66.2038
4659,2008,PAH,0.14,17.9508,-66.2119
4672,2009,PCB,0.11,17.9248,-66.2001
4673,2009,PCB,0.08,17.9262,-66.3188
4676,2009,PCB,0.34,17.9146,-66.2531
4677,2009,PCB,0.09,17.9245,-66.2047
4685,2009,DDT,0.6,17.9678,-66.3292
4693,2009,PCB,0.08,17.9147,-66.2892
4694,2009,PAH,3.6,17.9124,-66.2394
4696,2009,PAH,5.8,17.9269,-66.3235
4697,2009,PCB,0.33,17.9158,-66.2499
4698,2009,PAH,4.4,17.9146,-66.2531
4699,2009,PCB,0.07,17.9124,-66.2394
4700,2009,PCB,0.62,17.9678,-66.3292
4701,2009,PCB,0.18,17.9151,-66.2688
4703,2009,PCB,0.09,17.928,-66.2709
4704,2009,PAH,2.4,17.9044,-66.2554
4705,2009,PAH,4.2,17.9262,-66.3188
4706,2009,PAH,3.4,17.9248,-66.2001
4707,2009,PAH,5.2,17.9158,-66.2499
4708,2009,PAH,4.2,17.9678,-66.3292
4709,2009,PAH,3.7,17.9245,-66.2047
4712,2009,PAH,2.8,17.9329,-66.3299
4713,2009,PAH,2.9,17.9317,-66.2834
4714,2009,PAH,4.1,17.928,-66.2709
4715,2009,PAH,3.8,17.9226,-66.2574
4716,2009,PAH,3.6,17.9147,-66.2892
4717,2009,PAH,3.2,17.9151,-66.2688
4718,2009,PAH,3.1,17.9167,-66.2179
