,Unnamed: 0,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date,State,County,City
178,1396,5.4,0.45,30.75,19.3,32.84699264,-117.1169109,0,2010/8/1,,,
179,1412,6.965517241,1.034482759,34.82758621,25.65517241,32.84699264,-117.1169109,0,2010/9/1,,,
180,1427,6.965517241,0.586206897,33.44827586,25.72413793,32.84699264,-117.1169109,0,2010/10/1,,,
181,1441,11.93333333,1.2,28.06666667,37.96666667,32.84699264,-117.1169109,0,2010/11/1,,,
182,1453,12.5483871,1.967741935,22.09677419,34.09677419,32.84699264,-117.1169109,3,2010/12/1,,,
183,1465,14.35483871,4.580645161,23.48387097,40.12903226,32.84699264,-117.1169109,4,2011/1/1,,,
184,1503,9.928571429,2.821428571,32.75,34.17857143,32.84699264,-117.1169109,2,2011/2/1,,,
185,1542,9.290322581,2.258064516,35.51612903,32.51612903,32.84699264,-117.1169109,4,2011/3/1,,,
186,1585,6.133333333,1.7,39.03333333,24.6,32.84699264,-117.1169109,1,2011/4/1,,,
187,1629,4.806451613,1.774193548,39.09677419,21.4516129,32.84699264,-117.1169109,5,2011/5/1,,,
188,1672,4.766666667,1.2,35.03333333,15.3,32.84699264,-117.1169109,4,2011/6/1,,,
189,5,15.83870968,6.483870968,13.64516129,36.03225806,37.765946,-122.399044,0,2000/1/1,,,
190,32,11.32258065,6.548387097,24.70967742,35,37.765946,-122.399044,3,2000/3/1,,,
191,77,8.258064516,5.129032258,26,27.61290323,37.765946,-122.399044,3,2000/5/1,,,
192,128,5.612903226,3.258064516,16.06451613,13.64516129,37.765946,-122.399044,2,2000/7/1,,,
193,154,7.935483871,4.387096774,17.48387097,21.29032258,37.765946,-122.399044,2,2000/8/1,,,
194,210,9.35483871,6.032258065,21.67741935,29.22580645,37.765946,-122.399044,2,2000/10/1,,,
195,250,20.22580645,10.51612903,9.419354839,42.77419355,37.765946,-122.399044,1,2000/12/1,,,
196,581,14.61290323,10.38709677,7.838709677,33.32258065,37.765946,-122.399044,2,2003/1/1,,,
197,607,8.580645161,7.741935484,28.25806452,31.12903226,37.765946,-122.399044,2,2003/3/1,,,
198,651,7.612903226,6.838709677,30.19354839,27.61290323,37.765946,-122.399044,3,2003/5/1,,,
199,700,6.322580645,3.806451613,17.87096774,15.51612903,37.765946,-122.399044,2,2003/7/1,,,
200,722,6.774193548,3.225806452,21.58064516,15.96774194,37.765946,-122.399044,2,2003/8/1,,,
201,765,13.09677419,5.709677419,19.74193548,34.25806452,37.765946,-122.399044,3,2003/10/1,,,
202,797,12,5.483870968,17.35483871,34.32258065,37.765946,-122.399044,2,2003/12/1,,,
203,965,2.431818182,1.272727273,23.70454545,13.88636364,37.765946,-122.399044,2,2005/6/1,,,
204,975,3.935483871,2.161290323,20.77419355,13.25806452,37.765946,-122.399044,0,2005/7/1,,,
205,984,5.516129032,2.096774194,22,16.67741935,37.765946,-122.399044,1,2005/8/1,,,
206,1016,11.61290323,7.935483871,14.64516129,31.03225806,37.765946,-122.399044,1,2005/12/1,,,
207,1136,7.612903226,5.419354839,18.5483871,31.12903226,37.765946,-122.399044,1,2008/1/1,,,
208,1163,7.129032258,3.741935484,27.74193548,30.41935484,37.765946,-122.399044,1,2008/3/1,,,
209,1189,5.032258065,2.612903226,31,23.09677419,37.765946,-122.399044,2,2008/5/1,,,
210,1216,4.096774194,1.161290323,22.61290323,15.5483871,37.765946,-122.399044,0,2008/7/1,,,
211,1228,3.35483871,2.677419355,19.5483871,15.06451613,37.765946,-122.399044,0,2008/8/1,,,
212,1254,7.741935484,5.903225806,24.25806452,33.4516129,37.765946,-122.399044,0,2008/10/1,,,
213,1282,10.29032258,5.709677419,18.29032258,33.25806452,37.765946,-122.399044,1,2008/12/1,,,
214,6,3.862068966,1.574712644,28.79310345,11.31034483,34.59330463,-120.3928198,3,2000/1/1,,,
215,7,21.4516129,5.35483871,12.51612903,29.19354839,38.102507,-122.237976,0,2000/1/1,,,
216,20,12.86206897,5.137931034,18.48275862,28.10344828,38.102507,-122.237976,1,2000/2/1,,,
