,State,County,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date
159,Kentucky,Jefferson,4.096774193548387,30.87096774193548,49.41935483870968,21.677419354838705,38.16496621212125,-85.74386939393936,0,2000-08-01
160,Kentucky,McCracken,2.4857142857142858,7.914285714285715,77.42857142857143,22.428571428571423,37.05821999999998,-88.57250999999998,3,2000-08-01
161,Louisiana,East Baton Rouge,7.838709677419355,19.870967741935484,70.64516129032258,33.935483870967744,30.4840673,-91.19691749999996,1,2000-08-01
162,Michigan,Wayne,11.571428571428573,16.142857142857142,33.0,44.57142857142857,42.314071117028064,-83.14353358101617,0,2000-08-01
163,New York,Bronx,10.655172413793103,19.03448275862069,32.13793103448276,44.79310344827587,40.84195,-73.89004500000007,0,2000-08-01
164,North Carolina,Forsyth,7.0,1.0,29.0,15.0,36.08951975,-80.2553285,0,2000-08-01
165,North Carolina,Mecklenburg,9.548387096774192,17.032258064516128,71.83870967741936,31.548387096774192,35.23925887500001,-80.80980662499998,1,2000-08-01
166,Oklahoma,Cherokee,0.8571428571428571,1.5238095238095235,75.52380952380952,18.095238095238095,35.85407999999999,-94.98596399999998,3,2000-08-01
167,Oklahoma,Kay,0.4,5.8,62.3,9.6,36.697186,-97.08135,3,2000-08-01
168,Pennsylvania,Beaver,2.4838709677419355,34.29032258064516,35.19354838709677,27.193548387096772,40.74779600000002,-80.31644200000001,0,2000-08-01
169,Pennsylvania,Blair,0.3870967741935484,16.741935483870968,38.58064516129032,21.87096774193548,40.53527800000004,-78.37083299999995,0,2000-08-01
170,Pennsylvania,Lancaster,5.32258064516129,11.967741935483868,43.032258064516135,20.677419354838708,40.046667,-76.283333,0,2000-08-01
171,Pennsylvania,Lawrence,4.387096774193549,22.387096774193548,33.80645161290323,29.387096774193548,40.995848000000024,-80.34644200000002,0,2000-08-01
172,Pennsylvania,Montgomery,2.6129032258064515,11.709677419354836,46.387096774193544,27.806451612903228,40.112221999999974,-75.30916699999995,0,2000-08-01
173,Pennsylvania,Northampton,7.193548387096773,19.645161290322577,42.74193548387097,24.258064516129032,40.62805600000001,-75.341111,0,2000-08-01
174,Pennsylvania,Philadelphia,8.161290322580646,17.387096774193548,30.838709677419356,37.064516129032256,40.01187210964915,-75.08461068421047,0,2000-08-01
175,Texas,Dallas,5.67741935483871,7.903225806451613,75.51612903225806,41.32258064516129,32.840572772727256,-96.8280086590909,1,2000-08-01
176,Texas,El Paso,9.03225806451613,4.419354838709677,61.12903225806453,34.83870967741935,31.78743199679489,-106.44272625961544,1,2000-08-01
177,Texas,Harris,8.133333333333333,38.53333333333333,55.33333333333334,31.23333333333333,29.744600634300586,-95.3556731271578,1,2000-08-01
178,Arizona,Maricopa,14.64516129032258,7.483870967741934,40.80645161290322,49.096774193548384,33.4838463583328,-112.0644633760874,0,2000-09-01
179,Arizona,Pima,5.866666666666666,2.8666666666666667,42.9,31.73333333333333,32.202665163541695,-110.90862240000007,1,2000-09-01
180,California,Contra Costa,7.388888888888888,6.922222222222223,37.13333333333333,25.466666666666665,37.96757466666668,-122.00829433333332,1,2000-09-01
181,California,Imperial,10.727272727272727,8.636363636363637,45.90909090909091,40.63636363636363,32.676179999999995,-115.48307,0,2000-09-01
