State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Pennsylvania,Northampton,40.628056,-75.341111,21.56440897,26.60540212,13.90902888,7.509474275,2020/5/1
Pennsylvania,Philadelphia,40.01187211,-75.08461068,24.56224622,20.92134655,0.805664306,7.080645161,2020/5/1
Pennsylvania,Washington,40.146667,-79.902222,17.32056419,29.32925853,6.486521344,5.535569403,2020/5/1
Pennsylvania,Westmoreland,40.304694,-79.505667,17.81491492,32.01555598,21.89852779,0.656310517,2020/5/1
Pennsylvania,York,39.965278,-76.699444,21.5007916,27.625,0,2.995399129,2020/5/1
Rhode Island,Providence,41.841039,-71.36097,20.24411984,34.53477983,0.206540442,3.948850496,2020/5/1
South Carolina,Charleston,32.941023,-79.657187,5.730769231,40.1287502,2.951612991,1.809280205,2020/5/1
South Carolina,Richland,34.093959,-80.962304,18.87121212,37.21464646,0.449494949,2.51262626,2020/5/1
South Dakota,Minnehaha,43.54792,-96.700769,14.19108756,30.82099051,0.216885792,2.554998102,2020/5/1
South Dakota,Union,42.751518,-96.707208,5.519219691,23.00798788,0.518953023,1.496617912,2020/5/1
Tennessee,Blount,35.62164844,-83.8801635,1.172413793,38.75143825,0.014698121,1.853970387,2020/5/1
Texas,Bexar,29.44125313,-98.44188628,14.73583246,31.98180951,0.241935484,5.555280997,2020/5/1
Texas,Dallas,32.84057277,-96.82800866,19.40151014,29.04278598,0.518840463,3.869567945,2020/5/1
Texas,El Paso,31.787432,-106.4427263,31.06974038,36.06087719,1.477288352,6.731182796,2020/5/1
Texas,Harris,29.73137051,-95.31537279,20.57417908,30.79386345,0.06509067,5.326696846,2020/5/1
Texas,McLennan,31.653086,-97.070704,4.029652019,29.81793848,0.883053252,1.88896867,2020/5/1
Texas,Travis,30.354148,-97.7259575,16.21808843,31.66514786,0.083730725,5.925925926,2020/5/1
Utah,Salt Lake,40.74347549,-111.9094404,22.36386466,53.86521654,0.662375543,1.077777778,2020/5/1
Utah,Uintah,40.20767475,-109.5437241,3.900291312,36.74021396,0,15.09677419,2020/5/1
Virginia,Alexandria City,38.82045,-77.050552,20.57268557,36.03423274,1.225806452,5.23545384,2020/5/1
Virginia,Fairfax,38.8462,-77.3064,21.47727273,45.79486614,11.11290323,7.662959377,2020/5/1
Virginia,Hampton City,37.103733,-76.387017,6.98802245,36.14041293,0.163835274,2.288536881,2020/5/1
Virginia,Henrico,37.55652,-77.40027,19.625,25.12823126,0.386001201,4.789248175,2020/5/1
Virginia,Roanoke,37.28342,-79.88452,10.79257647,36.27743658,0.180243655,2.887282818,2020/5/1
Washington,King,47.582729,-122.314175,25.02261673,26.45591595,0.731411603,4.072699809,2020/5/1
Wisconsin,Milwaukee,43.00731763,-87.92381863,19.79648933,24.53129753,0.448996322,5.419354839,2020/5/1
Wyoming,Laramie,41.1337935,-104.650552,10.44271706,38.03197007,0.782741242,1.653571068,2020/5/1
Wyoming,Uinta,41.373097,-111.042376,5.897446567,30.58559198,0.567397932,2.255558017,2020/5/1
Florida,Duval,30.3380065,-81.63100799,17.29159608,36.10590957,2.368359526,6.575656773,2020/5/1
Florida,Miami-Dade,25.7638438,-80.25346725,16.27403974,34.30620186,0.190023799,3.551816134,2020/5/1
Florida,Pinellas,27.82351188,-82.6827105,12.51284192,34.42674968,1.963050106,3.751498567,2020/5/1
Georgia,Fulton,33.749571,-84.374358,21.49888258,39.64922938,2.714047872,8.730690076,2020/5/1
Indiana,Vanderburgh,37.9955065,-87.587029,14.63100982,35.73053858,1.784859999,4.592542388,2020/5/1
Massachusetts,Worcester,42.269137,-71.8349165,23.21562684,33.28349607,0.199808799,4.36812801,2020/5/1
Minnesota,Hennepin,44.9731185,-93.264239,22.71838054,22.94659602,1.63966182,5.987558036,2020/5/1
Mississippi,Hinds,32.3379165,-90.2041945,13.79121658,33.69580582,0.58422345,2.380753486,2020/5/1
North Dakota,Burleigh,46.825425,-100.76821,8.718485822,35.42024676,0.986946333,2.092818875,2020/5/1
