State,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Iowa,2011-12-31,9.802510965517243,17.517241379310345,10.241379310344827,16.103448275862068,0.012851517241379309,0.018827586206896556,10.206896551724139,15.931034482758621,0.8040793103448275,2.4517241379310346,13.068965517241379,3.375,0.2142241379310345,0.2689655172413793,4.689655172413793,2.8275862068965516,41.6145925,-90.5547775
Iowa,2012-01-31,10.946025677419353,20.67419354838709,13.258064516129032,19.0,0.016620967741935482,0.02274193548387098,10.0,19.258064516129032,1.0895740322580645,3.8774193548387097,10.35483870967742,5.032258064516129,0.23043758064516132,0.31935483870967746,6.483870967741935,3.4193548387096775,41.61459250000001,-90.5547775
Iowa,2012-02-29,9.099069736842104,18.989473684210523,10.68421052631579,17.57894736842105,0.018982473684210528,0.024894736842105268,12.052631578947368,21.0,0.4923107368421052,2.068421052631579,11.947368421052632,2.3157894736842106,0.21995615789473688,0.2842105263157895,5.7368421052631575,3.0,41.61459249999999,-90.5547775
Iowa,2012-03-31,6.408979187500001,13.44375,13.78125,12.28125,0.028752593750000003,0.037125000000000005,10.25,31.46875,0.6488030312499999,1.9312500000000001,10.625,1.9375,0.20574784375000005,0.240625,4.71875,2.40625,41.614235203125006,-90.651288140625
Iowa,2012-04-30,6.810859186440679,15.574576271186443,12.864406779661017,14.254237288135593,0.031511237288135596,0.04240677966101694,10.389830508474576,35.96610169491525,0.370953627118644,1.38135593220339,8.864406779661017,1.576271186440678,0.22005647457627112,0.2728813559322034,5.033898305084746,2.864406779661017,41.60897264406784,-92.07277537288122
Iowa,2012-05-31,6.028868999999999,13.87868852459017,12.114754098360656,12.62295081967213,0.038169393442622955,0.049508196721311466,10.19672131147541,43.24590163934426,0.3720858524590165,1.080327868852459,7.770491803278689,1.0,0.20173039344262295,0.23770491803278682,2.5737704918032787,2.4262295081967213,41.60896946721316,-92.07363348360643
Iowa,2012-06-30,6.4250847090909105,15.925454545454546,13.618181818181819,14.6,0.040063854545454546,0.05249090909090911,10.636363636363637,46.69090909090909,0.4521432545454545,1.5200000000000002,9.10909090909091,1.709090909090909,0.2023278727272727,0.2672727272727272,5.254545454545455,2.8363636363636364,41.6093954545455,-91.95856863636354
Iowa,2012-07-31,6.36371245,15.80166666666667,12.616666666666667,14.466666666666667,0.04009030000000001,0.05411666666666667,9.933333333333334,49.6,0.3137769833333334,0.7916666666666666,8.683333333333334,0.9743589743589743,0.20292556666666664,0.2561666666666667,4.983333333333333,2.6440677966101696,41.60868519166671,-92.15042009166655
Iowa,2012-08-31,7.829638379310343,20.005172413793098,13.672413793103448,18.396551724137932,0.03383456896551723,0.04875862068965517,9.706896551724139,44.275862068965516,0.234592275862069,0.42758620689655175,7.241379310344827,0.017241379310344827,0.24111067241379308,0.33103448275862074,6.551724137931035,3.603448275862069,41.60848149137935,-92.20544224999989
Iowa,2012-09-30,8.2470149,21.221666666666668,14.533333333333333,19.5,0.025851366666666667,0.039299999999999995,9.566666666666666,33.38333333333333,0.26286816666666674,0.6483333333333334,9.583333333333334,0.2,0.23492653333333333,0.34999999999999987,5.166666666666667,3.8333333333333335,41.60887575000004,-92.09894774999988
Iowa,2012-10-31,7.182949887096776,16.025806451612905,11.887096774193548,14.64516129032258,0.019910532258064523,0.029096774193548385,8.370967741935484,24.596774193548388,0.2224921935483871,0.6177419354838708,7.241935483870968,0.3709677419354839,0.20971806451612898,0.28870967741935477,5.596774193548387,3.129032258064516,41.608875750000045,-92.09894774999987
Iowa,2012-11-30,10.525726535714284,19.332142857142863,14.0,17.892857142857142,0.0163675,0.024392857142857157,10.214285714285714,20.678571428571427,0.8981839999999999,3.3178571428571417,9.178571428571429,4.107142857142857,0.2313807142857143,0.3142857142857142,7.107142857142857,3.4642857142857144,41.6145925,-90.5547775
Iowa,2012-12-31,9.705968483870965,18.732258064516127,13.225806451612904,17.322580645161292,0.016853451612903223,0.02248387096774195,9.903225806451612,19.032258064516128,0.5904453548387097,1.7580645161290323,10.96774193548387,1.5806451612903225,0.22137093548387105,0.27741935483870966,4.258064516129032,2.935483870967742,41.61459250000001,-90.5547775
Iowa,2013-01-31,9.591154225806445,20.14516129032259,11.064516129032258,18.516129032258064,0.020894193548387095,0.02738709677419355,10.919354838709678,23.225806451612904,0.7737245483870968,3.0516129032258066,10.580645161290322,3.6451612903225805,0.22314406451612884,0.28709677419354834,5.161290322580645,3.064516129032258,41.614592500000036,-90.5547774999999
Iowa,2013-02-28,8.92035517857143,19.342857142857145,10.821428571428571,17.785714285714285,0.02723185714285714,0.03389285714285715,10.589285714285714,28.767857142857142,0.7315364999999998,2.8964285714285714,9.107142857142858,3.5,0.22625857142857142,0.2892857142857144,6.428571428571429,3.0714285714285716,41.61459250000003,-90.55477749999993
Iowa,2013-03-31,8.480825741935481,17.967741935483872,11.0,16.612903225806452,0.03387906451612905,0.042306451612903216,10.612903225806452,35.903225806451616,0.7631968064516128,2.564516129032258,9.96774193548387,3.064516129032258,0.22773061290322566,0.26129032258064505,2.903225806451613,2.7419354838709675,41.614592500000036,-90.5547774999999
Iowa,2013-04-30,5.6658562608695675,12.169565217391305,11.673913043478262,10.934782608695652,0.03661264130434783,0.04511956521739132,11.630434782608695,38.22826086956522,0.494315543478261,1.8260869565217386,10.76086956521739,2.0869565217391304,0.2037220217391303,0.2391304347826086,3.4782608695652173,2.4130434782608696,41.61061563043483,-91.62898289130412
Iowa,2013-05-31,6.052116064516128,15.404838709677414,12.951612903225806,14.096774193548388,0.03272962096774193,0.04349999999999997,10.137096774193548,37.064516129032256,0.21583972580645167,1.0903225806451613,7.096774193548387,1.2580645161290323,0.20472224193548372,0.24999999999999978,3.935483870967742,2.564516129032258,41.60887575000007,-92.09894774999977
Iowa,2013-06-30,5.263421849999999,13.13,11.583333333333334,11.933333333333334,0.03150946666666668,0.042425,10.108333333333333,35.975,0.18357521666666662,0.9533333333333331,7.733333333333333,1.1333333333333333,0.1946328833333332,0.2533333333333331,4.616666666666666,2.6666666666666665,41.60887575000006,-92.09894774999977
Iowa,2013-07-31,5.466107919354838,13.335483870967746,13.338709677419354,12.129032258064516,0.031988685483870974,0.043467741935483875,10.096774193548388,36.83064516129032,0.1577956774193548,0.7306451612903224,6.919354838709677,0.7096774193548387,0.19717741935483862,0.2467741935483868,3.161290322580645,2.5483870967741935,41.60887575000007,-92.09894774999977
