State,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
Florida,2017-04-30,0.27117576380813907,0.3364098837209303,4.7979651162790695,3.730377906976744,0.6772048819962686,2.4631996268656717,10.656716417910447,2.8022388059701493,0.037292577532351615,0.044975011155733866,10.551874163319946,42.747991967871485,6.125992166103605,15.198592342342337,8.289414414414415,13.950450450450452,28.33818396926712,-82.27229850571527
Florida,2017-05-31,0.24804601148648636,0.3139189189189186,4.987837837837838,3.522972972972973,0.5845247313673713,2.0983274647887327,10.590669014084508,2.3720657276995305,0.03492958641574742,0.0438282500540774,10.840796019900496,44.871728314947,5.865539474269003,13.934970760233925,9.736842105263158,12.771345029239766,28.3302020847646,-82.26622442069629
Florida,2017-06-30,0.2545465519087526,0.32367318435754194,5.970204841713221,3.630353817504656,0.5571192631036517,1.9498085983510007,10.550942285041224,2.1861012956419317,0.02157372571819425,0.02827314181486546,10.106703146374828,26.19915640674875,5.606054933782267,11.677497194163864,10.725589225589225,10.606060606060606,28.358637003907816,-82.30428335659177
Florida,2017-07-31,0.26076617189132734,0.340491118077325,6.1165099268547545,3.806687565308254,0.7507475758754864,2.5559338521400785,10.636186770428015,3.0155642023346303,0.02165690064746592,0.02924603706184412,10.029805760214334,27.105157401205627,5.701212381123055,11.987156511350069,10.916965352449225,10.863201911589007,28.35202362839774,-82.28631559847305
Florida,2017-08-31,0.27710010499490345,0.35331294597349666,6.225280326197757,3.942915392456677,0.6447962003816792,2.147614503816796,11.03530534351145,2.46087786259542,0.02054224186858765,0.0275670159353853,9.877646802008297,25.536454922506003,6.048349045454547,12.53813131313132,9.749368686868687,11.398358585858585,28.332245961404087,-82.27371629940052
Florida,2017-09-30,0.3136531407563026,0.40504201680672247,5.892857142857143,4.585434173669468,0.664752234870317,2.1962536023054744,10.613832853025936,2.4620557156580207,0.026421099491322583,0.0356576900059844,10.425493716337522,33.29877318970676,6.734461786252355,14.945856873822974,10.113935969868173,13.66854990583804,28.549376252181965,-82.59816372889603
Florida,2017-10-31,0.2558016277445108,0.32774451097804347,5.863273453093812,3.682634730538922,0.651997859725235,2.0961677512653654,11.246023138105567,2.321221981200289,0.026820451517150387,0.033322449428320085,10.672273526824979,30.823658751099387,6.062253574144488,12.880608365019008,10.679340937896068,11.737642585551331,28.352551796198636,-82.28545745185174
Florida,2017-11-30,0.305093857070707,0.40656565656565613,5.9,4.62929292929293,0.6980351514008623,2.15301724137931,10.98114224137931,2.386853448275862,0.02886880454749104,0.03755376344085989,10.553427419354838,34.765120967741936,8.568337851711023,18.02040557667934,11.690747782002536,16.62610899873257,28.33141860918894,-82.27450960035638
Florida,2017-12-31,0.3170245291666668,0.4744791666666668,7.410416666666667,5.395833333333333,0.8757782275967416,2.7114562118126275,10.594195519348268,3.1726069246435844,0.026623137497289045,0.035136521361960354,10.719366731728476,32.50683148991542,9.539121422094505,20.808812260536396,12.35632183908046,19.257343550446997,28.342056065510803,-82.27966146375459
Florida,2018-01-31,0.2576947473794551,0.34727463312368984,6.791404612159329,3.930817610062893,0.8727346924273855,2.4013658367911486,10.4548755186722,2.73737897648686,0.03136749522880069,0.03714953372370398,11.287790067230535,34.395575797007155,7.834600363692687,16.964869888475842,11.53903345724907,15.562577447335814,28.334956920986894,-82.27586588296421
